date,PrimaryDeliveries
5/12/2014,16146
5/19/2014,7878
5/26/2014,3666
6/2/2014,5616
6/9/2014,12246
6/16/2014,11778
6/23/2014,21762
6/30/2014,9126
7/7/2014,1014
7/14/2014,2496
7/21/2014,3198
7/28/2014,4680
8/4/2014,9438
8/11/2014,13026
8/18/2014,17004
8/25/2014,16380
9/1/2014,11622
9/8/2014,4836
9/15/2014,3510
9/22/2014,12870
9/29/2014,25750
10/6/2014,21450
10/13/2014,19812
10/20/2014,3978
10/27/2014,4992
11/3/2014,6184
11/10/2014,6084
11/17/2014,6552
11/24/2014,17004
12/1/2014,13544
12/8/2014,8800
12/15/2014,14792
12/22/2014,6084
12/29/2014,3198
1/5/2015,6682
1/12/2015,16380
1/19/2015,26668
1/26/2015,30186
2/2/2015,14840
2/9/2015,156
2/16/2015,2496
2/23/2015,3354
3/2/2015,6942
3/9/2015,10200
3/16/2015,9714
3/23/2015,5460
3/30/2015,408
4/6/2015,13806
4/13/2015,19672
4/20/2015,23018
4/27/2015,16002
5/4/2015,5148
5/11/2015,10730
5/18/2015,26202
5/25/2015,40638
6/1/2015,24888
6/8/2015,14938
6/15/2015,1484
6/22/2015,6018
6/29/2015,41964
7/6/2015,58656
7/13/2015,42198
7/20/2015,29644
7/27/2015,3117
8/3/2015,46644
8/10/2015,30576
8/17/2015,858
8/24/2015,130
8/31/2015,78
9/7/2015,234
9/14/2015,546
9/21/2015,10374
9/28/2015,13026
10/5/2015,17004
10/12/2015,9204
10/19/2015,1872
10/26/2015,4134
11/2/2015,4596
11/9/2015,2652
11/16/2015,3588
11/23/2015,42666
11/30/2015,20904
12/7/2015,44928
12/14/2015,43680
12/21/2015,23010
12/28/2015,12636
1/4/2016,936
1/11/2016,1638
1/18/2016,2340
1/25/2016,25659
2/1/2016,31902
2/8/2016,49218
2/15/2016,34788
2/22/2016,1326
2/29/2016,8034
3/7/2016,35256
3/14/2016,117390
3/21/2016,76518
3/28/2016,22932
4/4/2016,78
4/11/2016,1950
4/18/2016,1560
4/25/2016,3276
5/2/2016,4992
5/9/2016,4212
5/16/2016,5070
5/23/2016,46722
5/30/2016,3822
6/6/2016,40482
6/13/2016,1638
6/20/2016,858
6/27/2016,1014
7/4/2016,780
7/11/2016,45474
7/18/2016,67314
7/25/2016,73476
8/1/2016,33460
8/8/2016,0
8/15/2016,0
8/22/2016,78
8/29/2016,1482
9/5/2016,2340
9/12/2016,45084
9/19/2016,81276
9/26/2016,72774
10/3/2016,40248
10/10/2016,0
10/17/2016,0
10/24/2016,546
10/31/2016,2106
11/7/2016,1950
11/14/2016,8112
11/21/2016,36036
11/28/2016,31980
12/5/2016,6786
12/12/2016,1794
12/19/2016,1560
12/26/2016,2340
1/2/2017,5772
1/9/2017,1326
1/16/2017,48906
1/23/2017,93834
1/30/2017,55692
2/6/2017,43678
2/13/2017,5538
2/20/2017,5694
2/27/2017,60840
3/6/2017,69732
3/13/2017,76362
3/20/2017,50388
3/27/2017,0
4/3/2017,234
4/10/2017,1248
4/17/2017,2184
4/24/2017,624
5/1/2017,1248
5/8/2017,2028
5/15/2017,3588
5/22/2017,19578
5/29/2017,0
6/5/2017,0
6/12/2017,0
6/19/2017,0
6/26/2017,0
